指标名,字段类型,单位,标签,描述
"gen_ai_agent_operation_count","float","-","tool_name,session_id,app_id,host_arch,agent_version,process_command,skill_name,subagent_role,scope_name,outcome,app_name,request_model,process_pid,skill_source,env,process_executable_name,tool_result_status,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,model_name,provider_name,__temporality,host_name,agent_id,process_owner,agent_name,service_name,operation_name",""
"gen_ai_agent_operation_duration_bucket","float","-","tool_name,session_id,app_id,host_arch,agent_version,process_command,skill_name,subagent_role,scope_name,outcome,app_name,request_model,process_pid,skill_source,env,process_executable_name,tool_result_status,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,model_name,provider_name,unit,le,host_name,agent_id,process_owner,agent_name,service_name,operation_name",""
"gen_ai_agent_operation_duration_count","float","-","tool_name,session_id,app_id,host_arch,agent_version,process_command,skill_name,subagent_role,scope_name,outcome,app_name,request_model,process_pid,skill_source,env,process_executable_name,tool_result_status,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,model_name,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name,operation_name",""
"gen_ai_agent_operation_duration_max","float","-","tool_name,session_id,app_id,host_arch,agent_version,process_command,skill_name,subagent_role,scope_name,outcome,app_name,request_model,process_pid,skill_source,env,process_executable_name,tool_result_status,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,model_name,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name,operation_name",""
"gen_ai_agent_operation_duration_min","float","-","tool_name,session_id,app_id,host_arch,agent_version,process_command,skill_name,subagent_role,scope_name,outcome,app_name,request_model,process_pid,skill_source,env,process_executable_name,tool_result_status,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,model_name,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name,operation_name",""
"gen_ai_agent_operation_duration_sum","float","-","tool_name,session_id,app_id,host_arch,agent_version,process_command,skill_name,subagent_role,scope_name,outcome,app_name,request_model,process_pid,skill_source,env,process_executable_name,tool_result_status,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,model_name,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name,operation_name",""
"gen_ai_agent_request_count","float","-","session_id,app_id,host_arch,agent_version,process_command,request_type,scope_name,outcome,app_name,request_model,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,session_state,__temporality,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_request_duration_bucket","float","-","session_id,app_id,host_arch,agent_version,process_command,request_type,scope_name,outcome,app_name,request_model,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,session_state,unit,le,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_request_duration_count","float","-","session_id,app_id,host_arch,agent_version,process_command,request_type,scope_name,outcome,app_name,request_model,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,session_state,unit,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_request_duration_max","float","-","session_id,app_id,host_arch,agent_version,process_command,request_type,scope_name,outcome,app_name,request_model,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,session_state,unit,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_request_duration_min","float","-","session_id,app_id,host_arch,agent_version,process_command,request_type,scope_name,outcome,app_name,request_model,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,session_state,unit,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_request_duration_sum","float","-","session_id,app_id,host_arch,agent_version,process_command,request_type,scope_name,outcome,app_name,request_model,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,session_state,unit,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_session_token_input","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,session_namespace,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,session_channel,host_id,provider_name,session_scope,__temporality,host_name,agent_id,process_owner,session_agent,session_key,agent_name,service_name",""
"gen_ai_agent_session_token_output","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,session_namespace,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,session_channel,host_id,provider_name,session_scope,__temporality,host_name,agent_id,process_owner,session_agent,session_key,agent_name,service_name",""
"gen_ai_agent_session_token_total","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,session_namespace,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,session_channel,host_id,provider_name,session_scope,__temporality,host_name,agent_id,process_owner,session_agent,session_key,agent_name,service_name",""
"gen_ai_agent_session_token_usage","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,session_namespace,token_type,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,session_channel,host_id,provider_name,session_scope,__temporality,host_name,agent_id,process_owner,session_agent,session_key,agent_name,service_name",""
"gen_ai_agent_session_trace_count","float","-","session_id,app_id,host_arch,agent_version,process_command,request_type,scope_name,app_name,request_model,session_namespace,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,session_channel,host_id,provider_name,session_scope,__temporality,host_name,agent_id,process_owner,session_agent,session_key,agent_name,service_name",""
"gen_ai_agent_skill_activation_count","float","-","app_name,service_name,session_id,__temporality,skill_source,app_id,env,agent_version,skill_name,agent_runtime,scope_name",""
"gen_ai_agent_subagent_count","float","-","app_name,service_name,session_id,__temporality,app_id,env,agent_version,outcome,subagent_role,agent_runtime,scope_name,operation_name",""
"gen_ai_agent_subagent_duration_bucket","float","-","app_name,service_name,session_id,unit,le,env,app_id,agent_version,outcome,subagent_role,agent_runtime,scope_name,operation_name",""
"gen_ai_agent_subagent_duration_count","float","-","app_name,service_name,session_id,unit,env,app_id,agent_version,outcome,subagent_role,agent_runtime,scope_name,operation_name",""
"gen_ai_agent_subagent_duration_max","float","-","app_name,service_name,session_id,unit,env,app_id,agent_version,outcome,subagent_role,agent_runtime,scope_name,operation_name",""
"gen_ai_agent_subagent_duration_min","float","-","app_name,service_name,session_id,unit,env,app_id,agent_version,outcome,subagent_role,agent_runtime,scope_name,operation_name",""
"gen_ai_agent_subagent_duration_sum","float","-","app_name,service_name,session_id,unit,env,app_id,agent_version,outcome,subagent_role,agent_runtime,scope_name,operation_name",""
"gen_ai_agent_token_usage_bucket","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,token_type,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,unit,le,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_token_usage_count","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,token_type,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_token_usage_max","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,token_type,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_token_usage_min","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,token_type,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_token_usage_sum","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,token_type,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_message_duration_bucket","float","-","app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,unit,le,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_message_duration_count","float","-","app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,unit,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_message_duration_max","float","-","app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,unit,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_message_duration_min","float","-","app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,unit,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_message_duration_sum","float","-","app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,unit,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_message_processed_count","float","-","app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,__temporality,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_message_queued_count","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,process_pid,env,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,__temporality,channel,host_name,agent_id,process_owner,source,agent_name,service_name",""
"gen_ai_runtime_queue_depth_bucket","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,queue_name,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,session_state,le,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_queue_depth_count","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,queue_name,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,session_state,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_queue_depth_max","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,queue_name,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,session_state,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_queue_depth_min","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,queue_name,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,session_state,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_queue_depth_sum","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,queue_name,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,session_state,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_queue_dequeue_count","float","-","app_id,host_arch,agent_version,process_command,scope_name,app_name,process_pid,env,queue_name,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,__temporality,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_queue_enqueue_count","float","-","app_id,host_arch,agent_version,process_command,scope_name,app_name,process_pid,env,queue_name,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,__temporality,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_queue_wait_bucket","float","-","app_id,host_arch,agent_version,process_command,scope_name,app_name,process_pid,env,queue_name,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,unit,le,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_queue_wait_count","float","-","app_id,host_arch,agent_version,process_command,scope_name,app_name,process_pid,env,queue_name,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,unit,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_queue_wait_max","float","-","app_id,host_arch,agent_version,process_command,scope_name,app_name,process_pid,env,queue_name,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,unit,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_queue_wait_min","float","-","app_id,host_arch,agent_version,process_command,scope_name,app_name,process_pid,env,queue_name,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,unit,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_queue_wait_sum","float","-","app_id,host_arch,agent_version,process_command,scope_name,app_name,process_pid,env,queue_name,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,unit,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_session_end_count","float","-","app_name,service_name,session_id,__temporality,app_id,env,agent_version,agent_runtime,scope_name,platform,outcome",""
"gen_ai_runtime_session_start_count","float","-","app_name,service_name,session_id,__temporality,app_id,env,agent_version,agent_runtime,scope_name,platform",""
"gen_ai_runtime_session_state_count","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,session_state,__temporality,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_tool_call_count","float","-","app_name,tool_name,service_name,session_id,__temporality,app_id,env,agent_version,skill_name,agent_runtime,scope_name,platform,outcome",""
"gen_ai_runtime_tool_call_duration_bucket","float","-","app_name,tool_name,service_name,session_id,unit,le,env,app_id,agent_version,skill_name,agent_runtime,scope_name,platform,outcome",""
"gen_ai_runtime_tool_call_duration_count","float","-","app_name,tool_name,service_name,session_id,unit,env,app_id,agent_version,skill_name,agent_runtime,scope_name,platform,outcome",""
"gen_ai_runtime_tool_call_duration_max","float","-","app_name,tool_name,service_name,session_id,unit,env,app_id,agent_version,skill_name,agent_runtime,scope_name,platform,outcome",""
"gen_ai_runtime_tool_call_duration_min","float","-","app_name,tool_name,service_name,session_id,unit,env,app_id,agent_version,skill_name,agent_runtime,scope_name,platform,outcome",""
"gen_ai_runtime_tool_call_duration_sum","float","-","app_name,tool_name,service_name,session_id,unit,env,app_id,agent_version,skill_name,agent_runtime,scope_name,platform,outcome",""